movie_id,platform_id,need_pay,sample_link
1418019,2,False,https://v.youku.com/v_show/id_XODY1NjQzMTc2.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dselectbutton_1
1418019,3,False,http://www.iqiyi.com/v_19rrkq3mxk.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1418019,4,False,https://www.bilibili.com/bangumi/play/ss33220?bsource=douban
1418019,6,False,http://www.1905.com/vod/play/728574.shtml?__hz=6e0721b2c6977135
1418019,7,False,https://www.ixigua.com/cinema/album/7NoEThnyPy5_7NoMS3drr2d?utm_source=douban
1291571,1,True,http://v.qq.com/x/cover/5jnb4fae4hzic9g.html?ptag=douban.movie
1291571,3,True,http://www.iqiyi.com/v_19rra68glc.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291571,4,False,https://www.bilibili.com/bangumi/play/ss33033?bsource=douban
1293350,3,True,http://www.iqiyi.com/v_19rrk3zxd4.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1306029,2,True,http://v.youku.com/v_show/id_XMTMyNjMwMzgyNA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1306029,3,True,http://www.iqiyi.com/v_19rrnppl5w.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1306029,1,True,http://v.qq.com/x/cover/le1y6ytqnnd2ua2.html?ptag=douban.movie
1306029,4,False,https://www.bilibili.com/bangumi/play/ss26175?bsource=douban
1291818,3,False,http://www.iqiyi.com/v_19rrjba7d4.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1305487,2,True,http://v.youku.com/v_show/id_XNDU4MTk1Nzk4OA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1305487,3,True,http://www.iqiyi.com/v_19rrmxplc8.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1305487,1,True,http://v.qq.com/x/cover/wtwpu1rqpe427mw.html?ptag=douban.movie
1305487,4,False,https://www.bilibili.com/bangumi/play/ss25844?bsource=douban
1291843,1,True,http://v.qq.com/x/cover/mpy4fba3x6puvfy.html?ptag=douban.movie
1291843,3,True,http://www.iqiyi.com/v_19rra84w3o.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291843,7,False,https://www.ixigua.com/cinema/album/6532736291031745032?&utm_source=douban
1291843,4,False,https://www.bilibili.com/bangumi/play/ss28888?bsource=douban
1296736,5,True,http://www.mgtv.com/b/8733/305617.html?cxid=94l62sj44
1296736,2,True,http://v.youku.com/v_show/id_XNzMxODYxNDYw.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1296736,3,True,http://www.iqiyi.com/v_19rrho71bg.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1296736,1,True,http://v.qq.com/x/cover/g6n8noz3gmbiz4o.html?ptag=douban.movie
1296736,4,False,https://www.bilibili.com/bangumi/play/ss26973?bsource=douban
1309046,3,True,http://www.iqiyi.com/v_19rwfpe7dk.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1309046,1,True,http://v.qq.com/x/cover/w7hkwrou304fmze.html?ptag=douban.movie
1485260,3,True,http://www.iqiyi.com/v_19rra6pojw.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1485260,2,True,http://v.youku.com/v_show/id_XNDA0NDExOTcyNA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1485260,1,True,http://v.qq.com/x/cover/5y07fkhxzj48wcj.html?ptag=douban.movie
1485260,4,False,https://www.bilibili.com/bangumi/play/ss32351?bsource=douban
26580232,2,True,https://v.youku.com/v_show/id_XMzE1MDk4MjQyNA==.html?tpa=dW5pb25faWQ9MTAzNzUzXzEwMDAwMV8wMV8wMQ&refer=sousuotoufang_market.qrwang_00002944_000000_QJFFvi_19031900
26580232,1,True,http://v.qq.com/x/cover/8lvnb7aiio1crpd.html?ptag=douban.movie
3742360,1,True,http://v.qq.com/x/cover/rzpyce9pmxayzvb.html?ptag=douban.movie
3742360,6,False,http://www.1905.com/vod/play/418667.shtml?__hz=6e0721b2c6977135
3742360,4,False,https://www.bilibili.com/bangumi/play/ss12548?bsource=douban
1303021,3,True,http://www.iqiyi.com/v_19rrjraeeo.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1303021,1,True,http://v.qq.com/x/cover/ab66o4bl2p67wv7.html?ptag=douban.movie
3442220,1,True,http://v.qq.com/x/cover/1fl91giyegazfl4.html?ptag=douban.movie
1292849,3,True,http://www.iqiyi.com/v_19rrnpp9co.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1292849,2,True,http://v.youku.com/v_show/id_XMTMzNTQ2Mzc2NA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1292849,1,True,http://v.qq.com/x/cover/8lv03zh9yuhm1a2.html?ptag=douban.movie
1292849,4,False,https://www.bilibili.com/bangumi/play/ss26727?bsource=douban
1292849,6,True,http://vip.1905.com/play/1409054.shtml?__hz=6e0721b2c6977135
1292849,7,False,https://www.ixigua.com/cinema/album/6719310477425377796?&utm_source=douban
3008247,1,True,http://v.qq.com/x/cover/k2zh09k7oid23o0.html?ptag=douban.movie
1294408,8,False,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=623362318&pwId=d01197d3076b4164af82983c408bb996
1294408,1,False,http://v.qq.com/x/cover/nlzswcxr4umy1fr.html?ptag=douban.movie
1294408,4,False,https://www.bilibili.com/bangumi/play/ss28658?bsource=douban
1292262,3,True,http://www.iqiyi.com/v_19rrnma6cw.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1292262,2,False,https://v.youku.com/v_show/id_XMzgyMzY2Njg4.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dposter
27060077,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=655866126&pwId=d01197d3076b4164af82983c408bb996
27060077,1,True,http://v.qq.com/x/cover/r9umzdo0yjelfg1.html?ptag=douban.movie
27060077,2,True,http://v.youku.com/v_show/id_XNDA4MDcyMDI0OA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
27060077,3,True,http://www.iqiyi.com/v_19rr5eoxww.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1780330,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=655293722&pwId=d01197d3076b4164af82983c408bb996
1780330,2,True,http://v.youku.com/v_show/id_XNTE5OTUyNTQ4.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1780330,3,True,http://www.iqiyi.com/v_19rra04xok.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1780330,1,True,http://v.qq.com/x/cover/yjko7f1b1muwdhe.html?ptag=douban.movie
1780330,4,False,https://www.bilibili.com/bangumi/play/ss33130?bsource=douban
25958717,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=624310278&pwId=d01197d3076b4164af82983c408bb996
25958717,5,True,http://www.mgtv.com/b/330361/5933813.html?cxid=94l62sj44
25958717,3,True,http://www.iqiyi.com/v_19rrmy6ais.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
25958717,2,True,http://v.youku.com/v_show/id_XMzI0MTQzMTg0OA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
25958717,4,False,https://www.bilibili.com/bangumi/play/ss26976?bsource=douban
1291832,1,True,http://v.qq.com/x/cover/einghaeb1shgwf2.html?ptag=douban.movie
